V1,V2
Luigi Carlini,Yes
Germano Liberati-Tagliaferri,Yes
Saverio Mercadante,Yes
Giuseppe Nicolini,Yes
Stefano Pavesi,Yes
"John Fane, Lord Burghersh",No
Giovanni Pacini,Yes
Pietro Generali,Yes
Joseph Hartmann Stuntz,No
Giuseppe Mosca,Yes
Filippo Celli,Yes
Antonio d'Antoni,Yes
Pietro Raimondi,Yes
Louis Niedermeyer,No
Melchiorre Balbi,Yes
Giacomo Meyerbeer,No
Michele Carafa,Yes
Vittorio Trento,Yes
Filippo Grazioli,Yes
Gesualdo Lanza,Yes
Giacomo Cordella,Yes
Gioachino Rossini,Yes
Luigi Antonio Calegari,Yes
Francesco Sampieri,Yes
Carlo Mellara,Yes
Simon Mayr,No
Ferdinando Orlandi,Yes
Giuseppe Balducci,Yes
Francesco Basili,Yes
Andrea Nencini,Yes
Vincenzo Fioravanti,Yes
Carlo Conti,Yes
Gaetano Donizetti,Yes
Antonio Gandini,Yes
Filippo Campanella,Yes
Carlo Bigatti,Yes
Francesco Boyle,Yes
Paolo Brambilla,Yes
Valentino Fioravanti,Yes
Luigi Nicolini,Yes
Arcangelo Gambarana,Yes
Marcello Perrino,Yes
Carlo Tommasoni,Yes
Carlo Coccia,Yes
Pierre Gaspard Roll,No
Peter Winter,No
Francesco Morlacchi,Yes
Carlo Soliva,Yes
Adalbert Gyrowetz,No
Nicola Vaccai,Yes
Domenico Tritto,Yes
Raffaele Russo,Yes
Antonio Miari,Yes
Carlo Cappelletti,Yes
Giovanni Tadolini,Yes
Paolo Bonfichi,Yes
Carlo Saccente,Yes
Antonio Pauselli,Yes
Giovanni Rosi,Yes
Pietro Carlo Guglielmi,Yes
Pietro Romani,Yes
Giuseppe Sparano,Yes
Giuseppe Riccardi,Yes
Adolfo Bassi,Yes
Giuseppe Farinelli,Yes
Ferdinando Rutini,Yes
Antonio Coppola,Yes
Pietro Raj,Yes
Felice Radicati,Yes
Josef Dussek,No
Joseph Rastrelli,No
Giuseppe Scappa,Yes
Joseph Weigl,No
Giuseppe Pilotti,Yes
Luigi Capotorti,Yes
Domenico Puccini,Yes
Giovanni Prota,Yes
Gaetano Andreozzi,Yes
Ferdinando Paer,Yes
Stefano Romani,Yes
Antonio Calegari,Yes
Ferdinando Paini,Yes
Hippolyte-André Chelard,No
Antonio Brunetti,Yes
Ferdinand Hérold,No
Pasquale Sogner,Yes
Carlo Ceccarini,Yes
Ercole Paganini,Yes
Tommaso Consalvo,Yes
Marco Arici,Yes
Alfonso Savi,Yes
Manuel García,No
Marcos António Portugal,No
Luigi Favi,Yes
Giacomo Correr,Yes
Luigi Mosca,Yes
Vincenzo Migliorucci,Yes
Silvestro Palma,Yes
Giuseppe Alinovi,Yes
Antonio Del Fante,Yes
Pierre-Auguste-Louis Blondeau,No
Nicola Antonio Manfroce,Yes
Nicola Angeletti,Yes
Alessandro Albertazzi,Yes
Natale Abadia,Yes
Ferdinand Gasse,Yes
Appiano Appiani,Yes
Niccolò Antonio Zingarelli,Yes
Giovanni Battista de Luca,Yes
Giuseppe Latilla,Yes
Giuseppe Calcara,Yes
Nicolò Benvenuti,Yes
Gaetano Marinelli,Yes
Johann Kaspar Aiblinger,No
Antonio Fazzi,Yes
Vincenzo Lavigna,Yes
Vincenzo Fiodo,Yes
Luigi Caruso,Yes
Francesco Catugno,Yes
Pietro Della Valle,Yes
Emanuele Guarnaccia,Yes
Giuseppe Castignace,Yes
Giacomo Tritto,Yes
Ignazio Gerace,Yes
Giuseppe Maria Curcio,Yes
Domenico Cercià,Yes
Francesco Gnecco,Yes
Vincenzo Federici,Yes
Nicola Giuliani,Yes
Giovanni Paisiello,Yes
Vincenzo Pucitta,Yes
Giorgio Anglais,Yes
Domenico Marulli,Yes
Giuseppe Paliani,Yes
Giovanni Domenico Perotti,Yes
Cesare Giannoni,Yes
Giuseppe Rossi,Yes
Benedetto Neri,Yes
Antonio de Santis,Yes
Pietro Caselli,Yes
Giovanni Bertacchi,Yes
Andrea Favi,Yes
Francesco Gardi,Yes
B. De Dominicis,Yes
Antonio Gonzales,Yes
Giuseppe Antonio Capuzzi,Yes
Antoine Meissonier,No
Francesco Ruggi,Yes
Vincenzo Ciuffolotti,Yes
Lorenzo Rossi,Yes
Raffaele Orgitano,Yes
Giuseppe Elia,Yes
Joachim Albertini,Yes
Pietro Vannacci,Yes
Bonifazio Asioli,Yes
Francesco de Nunzio,Yes
Andrea Sartorio,Yes
Gasparo Spontini,Yes
Pietro Alessandro Guglielmi,Yes
Francesco Federici,Yes
Domenico Cimarosa,Yes
Francesco Antonio de Blasis,Yes
Giuseppe Gazzaniga,Yes
Camillo Angelini,Yes
Luigi Boccherini,Yes
Rinaldo Benucci,Yes
António Leal Moreira,No
Giuseppe Parisa,Yes
Sebastiano Nasolini,Yes
Placido Aglioti,Yes
Paolino La Rocca,Yes
Andrea Luigi Degola,Yes
Marcello di Capua,Yes
Vincenzio Fiocchi,Yes
Stefano Cristiani,Yes
G. Valentetti,Yes
Giuseppe Moneta,Yes
Michele Neri-Bondi,Yes
Felice Alessandri,Yes
Antonio Riccomini,Yes
Giuseppe Tamagni,Yes
Gioseffo Catrufo,Yes
Francesco Giuseppe Pollini,No
Bernardo Ottani,Yes
Alessandro La Motte,Yes
Francesco Piticchio,Yes
Antonio Benelli,Yes
Francesco Ceracchini,Yes
Giuseppe Aloisi,Yes
Michele Batini,Yes
Antonio Puccini,Yes
Francesco Giuliani,Yes
Vincenzo Fabrizi,Yes
Giuseppe Millico,Yes
Angelo Tarchi,Yes
Gaetano Isola,Yes
Pietro Persichini,Yes
Michele Mortellari,Yes
Gabriele Prota,Yes
Giuseppe Mugnes,Yes
Luigi Lamberti,Yes
Dominique Della Maria,No
Valerio Tesei,Yes
Giovanni Agostino Perotti,Yes
Gaetano Lovari,Yes
Friedrich Heinrich Himmel,No
Antonio Brandi,Yes
Marcello Bernardini (di Capua),Yes
Nicolas Isouard,No
Giuseppe Amendola,Yes
Pasquale Anfossi,Yes
Luigi Crippa,Yes
Gasparo Rugarli,Yes
Niccolò Piccinni,Yes
Francesco Bianchi,Yes
Luigi Piccinni,No
Hieronymus (Girolamo) Mango,Yes
Giovanni Battista Borghi,Yes
Michele Perla,Yes
Francesco Sirotti,Yes
Giuseppe Giordani,Yes
Vincenzio Bianciardi,Yes
Gennaro Astarita,Yes
Giuseppe Coppola,Yes
Gaetano Valeri,Yes
Luigi Barbieri,Yes
Pietro Morandi,Yes
Giacomo Siri,Yes
Salvatore Fighera,Yes
Teofilo Battirelli,Yes
Jacopo Scolart,Yes
Ferdinando Bertoni,Yes
Bernardo di Fraja,Yes
Carlo Spontoni,Yes
Giambattista Cimador,Yes
Ferdinando Robuschi,Yes
Adamo Marcori,Yes
Pasquale Antonio Soffi,Yes
Marco Santucci,Yes
Giovanni Liverati,Yes
Domenico Tameni,Yes
Giovanni Giacomo Avanzini,Yes
Antonio Pio,Yes
Domenico Quilici,Yes
Giuseppe Rustici,Yes
Gaetano Pugnani,Yes
Alessandro Vincenzo Campobasso,Yes
Giuseppe Sarti,Yes
Pietro Terziani,Yes
Francesco Antonio Speranza,Yes
Luigi Cherubini,Yes
Luigi Platone,Yes
Antonio Levis,Yes
Giovanni Battista Cedronio,Yes
Girolamo Masi,Yes
Stefano Ghinassi,Yes
Luigi Gatti,Yes
Secondini Anselmi,Yes
Salvatore Rispoli,Yes
Alessio Prati,Yes
Domenico Polcastro,Yes
