Composer,Opera_Name,city,year,State_Region,Composer_Last,Italian-Born
Cimarosa,Il Pittor Parigino,Rome,1781,Papal,cimarosa,1
Sarti,Giulio Sabino,Venice,1781,Venetia,sarti,1
Zingarelli,Montezuma,Naples,1781,Due_Sicilie,zingarelli,1
Alessandri,Il Vecchio geloso,Milan,1781,Lombardia,alessandri,1
Cimarosa,Giannina e Bernadone,Venice,1781,Venetia,cimarosa,1
Cimarosa,Il Convito,Venice,1781,Venetia,cimarosa,1
Cimarosa,La Ballerina amante,Naples,1782,Due_Sicilie,cimarosa,1
Sarti,Fra due Litiganti il terzo gode,Milan,1782,Lombardia,sarti,1
Cimarosa,Chi dell’ altrui si veste presto si spoglia,Naples,1783,Due_Sicilie,cimarosa,1
Cimarosa,I due Baroni di Rocca Azzurra,Rome,1783,Papal,cimarosa,1
Bernardini,Il Conte di Bell’Umore,Rome,1783,Papal,bernardini,1
P. GUGLIELMI,La Quakera spiritosa,Naples,1783,Due_Sicilie,guglielmi,1
CHERUBINI,"Lo Sposo di tre, Marito di Nessuna",Venice,1783,Venetia,cherubini,1
BIANCHI,La Villanella rapita,Venice,1783,Venetia,bianchi,1
Caruso,Gli Amanti alla Prova,Venice,1783,Venetia,caruso,1
P. Guglielmi,Le Vicende d'Amore,Rome,1784,Papal,guglielmi,1
Cimarosa,L'Olimpiade,Vicenza,1784,Venetia,cimarosa,1
Cimarosa,I due supposti Conti ossia Lo Sposo senza Moglie,Milan,1784,Lombardia,cimarosa,1
P. GUGLIELMI,La Virtuosa in Mergellina,Naples,1785,Due_Sicilie,guglielmi,1
FABRIZI,Li due Castellani Burlati,Bologna,1785,Papal,fabrizi,1
GAZZANIGA,La Moglie capricciosa,Venice,1785,Venetia,gazzaniga,1
P. Guglielmi,Enea e Lavinia,Naples,1785,Due_Sicilie,guglielmi,1
Tarchi,Ariarate,Milan,1786,Lombardia,tarchi,1
Paisiello,Le Gare generose,Naples,1786,Due_Sicilie,paisiello,1
P. Guglielmi,L'Inganno amoroso,Naples,1786,Due_Sicilie,guglielmi,1
Cimarosa,Le Trame deluse,Naples,1786,Due_Sicilie,cimarosa,1
