year,state,operas,post1801,copyright,copyright_post1801
1781,Duchy_Modena,0,0,0,0
1781,Duchy_Parma,1,0,0,0
1781,Due_Sicilie,16,0,0,0
1781,Lombardia,4,0,1,0
1781,Papal,14,0,0,0
1781,Sardinia,3,0,0,0
1781,Toscana,8,0,0,0
1781,Venetia,1,0,1,0
1782,Duchy_Modena,1,0,0,0
1782,Duchy_Parma,1,0,0,0
1782,Due_Sicilie,14,0,0,0
1782,Lombardia,2,0,1,0
1782,Papal,4,0,0,0
1782,Sardinia,3,0,0,0
1782,Toscana,6,0,0,0
1782,Venetia,1,0,1,0
1783,Duchy_Modena,1,0,0,0
1783,Duchy_Parma,1,0,0,0
1783,Due_Sicilie,16,0,0,0
1783,Lombardia,5,0,1,0
1783,Papal,5,0,0,0
1783,Sardinia,3,0,0,0
1783,Toscana,15,0,0,0
1783,Venetia,2,0,1,0
1784,Duchy_Modena,1,0,0,0
1784,Duchy_Parma,1,0,0,0
1784,Due_Sicilie,11,0,0,0
1784,Lombardia,5,0,1,0
1784,Papal,19,0,0,0
1784,Sardinia,7,0,0,0
1784,Toscana,10,0,0,0
1784,Venetia,1,0,1,0
1785,Duchy_Modena,3,0,0,0
1785,Duchy_Parma,1,0,0,0
1785,Due_Sicilie,11,0,0,0
1785,Lombardia,3,0,1,0
1785,Papal,10,0,0,0
1785,Sardinia,4,0,0,0
1785,Toscana,14,0,0,0
1785,Venetia,1,0,1,0
1786,Duchy_Modena,2,0,0,0
1786,Duchy_Parma,2,0,0,0
1786,Due_Sicilie,14,0,0,0
1786,Lombardia,7,0,1,0
1786,Papal,18,0,0,0
1786,Sardinia,4,0,0,0
1786,Toscana,6,0,0,0
1786,Venetia,1,0,1,0
1787,Duchy_Modena,0,0,0,0
1787,Duchy_Parma,1,0,0,0
1787,Due_Sicilie,14,0,0,0
1787,Lombardia,8,0,1,0
1787,Papal,16,0,0,0
1787,Sardinia,4,0,0,0
1787,Toscana,8,0,0,0
1787,Venetia,3,0,1,0
1788,Duchy_Modena,0,0,0,0
1788,Duchy_Parma,0,0,0,0
1788,Due_Sicilie,10,0,0,0
1788,Lombardia,3,0,1,0
1788,Papal,16,0,0,0
1788,Sardinia,6,0,0,0
1788,Toscana,5,0,0,0
1788,Venetia,2,0,1,0
1789,Duchy_Modena,0,0,0,0
1789,Duchy_Parma,0,0,0,0
1789,Due_Sicilie,10,0,0,0
1789,Lombardia,4,0,1,0
1789,Papal,16,0,0,0
1789,Sardinia,4,0,0,0
1789,Toscana,11,0,0,0
1789,Venetia,5,0,1,0
1790,Duchy_Modena,0,0,0,0
1790,Duchy_Parma,1,0,0,0
1790,Due_Sicilie,14,0,0,0
1790,Lombardia,5,0,1,0
1790,Papal,6,0,0,0
1790,Sardinia,3,0,0,0
1790,Toscana,8,0,0,0
1790,Venetia,2,0,1,0
1791,Duchy_Modena,0,0,0,0
1791,Duchy_Parma,1,0,0,0
1791,Due_Sicilie,13,0,0,0
1791,Lombardia,3,0,1,0
1791,Papal,10,0,0,0
1791,Sardinia,2,0,0,0
1791,Toscana,12,0,0,0
1791,Venetia,3,0,1,0
1792,Duchy_Modena,0,0,0,0
1792,Duchy_Parma,1,0,0,0
1792,Due_Sicilie,14,0,0,0
1792,Lombardia,5,0,1,0
1792,Papal,11,0,0,0
1792,Sardinia,6,0,0,0
1792,Toscana,12,0,0,0
1792,Venetia,6,0,1,0
1793,Duchy_Modena,0,0,0,0
1793,Duchy_Parma,2,0,0,0
1793,Due_Sicilie,15,0,0,0
1793,Lombardia,6,0,1,0
1793,Papal,1,0,0,0
1793,Sardinia,2,0,0,0
1793,Toscana,12,0,0,0
1793,Venetia,3,0,1,0
1794,Duchy_Modena,1,0,0,0
1794,Duchy_Parma,3,0,0,0
1794,Due_Sicilie,15,0,0,0
1794,Lombardia,4,0,1,0
1794,Papal,1,0,0,0
1794,Sardinia,2,0,0,0
1794,Toscana,15,0,0,0
1794,Venetia,3,0,1,0
