Opera_Name,Premiere_Date,Composer,Librettist_Literary_Source,Genre,City,State_Region,Theater
Anacreonte in Samo,1820,Saverio Mercadante,Giovanni Schmidt and Jean-Henry Guy,Opera,Naples,Due_Sicilie,Teatro San Carlo
Berengario,1820,Carlo Mellara,Antonio Peracchi,Opera,Bergamo,Lombardia,Teatro Riccardi
Chiara di Rosembergh,1820,Pietro Generali,Andrea Leone Tottola,Opera,Naples,Due_Sicilie,Teatro Nuovo sopra Toledo
Ciro in Babilonia,1820,Pietro Raimondi,Giovanni Battista Bordèse,Opera,Naples,Due_Sicilie,Teatro San Carlo
Eugenia degli Astolfi,1820,Stefano Pavesi,Andrea Leone Tottola,Opera,Naples,Due_Sicilie,Teatro Nuovo sopra Toledo
Fedra,1820,Ferdinando Orlandi,Luigi Romanelli,Opera,Padua,Venetia,Teatro Nuovo
"I due Figaro, o sia Il soggetto di una commedia",1820,Michele Carafa,Felice Romani and Honoré-Antoine Richaud-Martelly,Opera,Milan,Lombardia,Teatro alla Scala
Il geloso ravveduto,1820,Saverio Mercadante,Bartolomeo Signorini,Opera,Rome,Papal,Teatro Valle
Il gran naso,1820,Stefano Pavesi,NA,Opera,Naples,Due_Sicilie,Teatro Nuovo sopra Toledo
Il sospetto funesto,1820,Giuseppe Balducci,Pietro Giannone,Opera,Naples,Due_Sicilie,Real Teatro del Fondo di Separazione
Isaura e Ricciardo,1820,Francesco Basili,Cesare Sterbini,Opera,Rome,Papal,Teatro Valle
L'errore fortunato,1820,Andrea Nencini,Andrea Nencini,Opera,Urbino,Papal,NA
La burla fortunata,1820,Melchiorre Balbi,NA,Opera,Padua,Venetia,Private Performance
La conquista di Granata,1820,Giuseppe Nicolini,Luigi Romanelli,Opera,Venice,Venetia,Teatro La Fenice
La contadina fortunata,1820,Vincenzo Fioravanti,Andrea Leone Tottola,Opera,Rome,Papal,Teatro Valle
La festa di Bussone,1820,Michele Carafa,Silvio Pellico,Opera,Milan,Lombardia,Teatro Re
La gioventù di Enrico V,1820,Giovanni Pacini,Giuseppe Tarducci,Opera,Rome,Papal,Teatro Valle
La notte perigliosa,1820,Melchiorre Balbi,NA,Opera,Padua,Venetia,Teatro degli Obizzi
La pace desiderata,1820,Carlo Conti,NA,Opera,Naples,Due_Sicilie,Teatro Nuovo sopra Toledo
"La schiava in Bagdad, ossia Il papucciajo",1820,Giovanni Pacini,Vittorio Pezzi,Opera,Turin,Sardinia,Teatro Carignano
Le nozze in villa,1820,Gaetano Donizetti,Bartolomeo Merelli,Opera,Mantua,Lombardia,Teatro Regio
Maometto II (Le siège de Corinthe),1820,Gioachino Rossini,Cesare Della Valle,Opera,Naples,Due_Sicilie,Teatro San Carlo
Rodrigo di Valenza,1820,Ferdinando Orlandi,Felice Romani and William Shakespeare,Opera,Turin,Sardinia,Teatro Regio
"Ruggiero, ossia L'eroica gratitudine",1820,Antonio Gandini,Pietro Metastasio and Ludovico Ariosto,Opera,Modena,Duchy_Modena,Teatro di Corte
Scipione in Cartagine,1820,Saverio Mercadante,Jacopo Ferretti,Opera,Rome,Papal,Teatro di via della Torre Argentina
"Solimano II, ossia Le tre sultane",1820,Luigi Carlini,Andrea Leone Tottola and Charles-Simon Favart,Opera,Naples,Due_Sicilie,Teatro San Carlo
Teresa di Santi Cyran e Gianfaldoni,1820,Filippo Campanella,Paolo Giaramicca,Opera,Naples,Due_Sicilie,Teatro San Carlino
"Vallace, o L'eroe scozzese",1820,Giovanni Pacini,Felice Romani,Opera,Milan,Lombardia,Teatro alla Scala
"Violenza e Constanza, ossia I falsi monetari",1820,Saverio Mercadante,Andrea Leone Tottola,Opera,Naples,Due_Sicilie,Teatro Nuovo sopra Toledo
Adelaide di Borgogna,1819,Pietro Generali,Luigi Romanelli,Opera,Rovigo,Venetia,Teatro Sociale
"Bianca e Falliero, ossia Il consiglio dei tre",1819,Gioachino Rossini,Felice Romani and Antoine-Vincent Arnault,Opera,Milan,Lombardia,Teatro alla Scala
Don Gusmano,1819,Stefano Pavesi,NA,Opera,Venice,Venetia,Teatro Grimani di San Benedetto
Eduardo e Cristina,1819,Gioachino Rossini,Giovanni Schmidt and Andrea Leone Tottola,Opera,Venice,Venetia,Teatro Grimani di San Benedetto
Ermione,1819,Gioachino Rossini,Andrea Leone Tottola and Jean Racine,Opera,Naples,Due_Sicilie,Teatro San Carlo
Giulio Cesare nelle Gallie,1819,Giuseppe Nicolini,Michele Angelo Prunetti,Opera,Rome,Papal,Teatro di via della Torre Argentina
Gl'illinesi,1819,Francesco Basili,Felice Romani,Opera,Milan,Lombardia,Teatro alla Scala
I due fratelli fuorusciti,1819,Giuseppe Mosca,NA,Opera,Bologna,Papal,Teatro Marsigli-Rossi
I due parole,1819,Melchiorre Balbi,NA,Opera,Padua,Venetia,Private Performance
I furbi al cimento,1819,Carlo Bigatti,NA,Opera,Milan,Lombardia,Teatro Re
I pitocchi fortunati,1819,Stefano Pavesi,Giuseppe Maria Foppa,Opera,Venice,Venetia,Teatro Grimani di San Benedetto
Il califfo e la schiava,1819,Francesco Basili,Felice Romani,Opera,Milan,Lombardia,Teatro alla Scala
"Il carnevale di Venezia, ossia Le precauzioni",1819,Francesco Boyle,Girolamo Canestrari,Opera,Milan,Lombardia,Teatro Re
"Il carnevale di Venezia, ossia Le precauzioni",1819,Paolo Brambilla,Girolamo Canestrari,Opera,Turin,Sardinia,Teatro d'Angennes
Il contraccambio,1819,Giacomo Cordella,Cesare Sterbini,Opera,Rome,Papal,Teatro Valle
Il falegname di Livonia,1819,Giovanni Pacini,Felice Romani,Opera,Milan,Lombardia,Teatro alla Scala
"Il falegname di Livonia, ossia Pietro il grande",1819,Gaetano Donizetti,Gherardo Bevilacqua Aldobrandini and [Alexandre Vincent Pineux-Duval] Alexandre Duval,Opera,Venice,Venetia,Teatro Grimani di San Samuele
Il gabbamondo,1819,Pietro Generali,Cesare Sterbini,Opera,Rome,Papal,Teatro Valle
Il sacrifizio d'Epito,1819,Michele Carafa,[Giovanni Kreglianovich-Albinoni] Dalmiro Tindario,Opera,Venice,Venetia,Teatro La Fenice
L'apoteosi d'Ercole,1819,Saverio Mercadante,Giovanni Schmidt,Opera,Naples,Due_Sicilie,Teatro San Carlo
