State,Year,Opera,Composer,City
Lombardy,1781,Il Vecchio geloso,Alessandri,Milan
Lombardy,1782,Fra due Litiganti il terzo gode,Sarti,Milan
Lombardy,1784,I due supposti Conti ossia Lo Sposo senza Moglie,Cimarosa,Milan
Lombardy,1786,Ariarate,Tarchi,Milan
Lombardy,1789,La Disfatta di Dario,Giordani,Milan
Lombardy,1791,La Morte di Semiramide,Borghi,Milan
Lombardy,1792,Il Mercato di Monfregoso,Zingarelli,Milan
Lombardy,1796,Giulietta e Romeo,Zingarelli,Milan
Lombardy,1803,La Muta per Amore ossia Il Medico per Forza,Lavigna,Milan
Lombardy,1810,Ser Marcantonio,Pavesi,Milan
Lombardy,1811,I Pretendenti delusi,Mosca,Milan
Lombardy,1812,La Pietra del Paragone,Rossini,Milan
Lombardy,1813,Aureliano in Palmira,Rossini,Milan
Other states,1781,Il Pittor Parigino,Cimarosa,Rome
Other states,1782,La Ballerina amante,Cimarosa,Naples
Other states,1783,Chi dell<e2><80><99> altrui si veste presto si spoglia,Cimarosa,Naples
Other states,1784,Le Vicende d'Amore,P. Guglielmi,Rome
Other states,1785,Enea e Lavinia,P. Guglielmi,Naples
Other states,1786,L'Impresario in Angustie,Cimarosa,Naples
Other states,1787,Il Fanatico burlato,Cimarosa,Naples
Other states,1788,Ifigenia in Aulide,Cherubini,Turin
Other states,1789,I Zingari in Fiera,Paisiello,Naples
Other states,1799,La finta Filosofa,Spontini,Naples
Other states,1802,Gli Americani,Tritto,Naples
Other states,1804,Filandro e Carolina,Gnecco,Rome
Other states,1809,Agnese di Fitz-Henry,Paer,Parma
Other states,1811,"Berenice, Regina d'Armenia",Zingarelli,Rome
Other states,1812,Ciro in Babilonia o sia La Caduta di Baldassarre,Rossini,Ferrara
Venetia,1781,Giannina e Bernadone,Cimarosa,Venice
Venetia,1783,Gli Amanti alla Prova,Caruso,Venice
Venetia,1784,L'Olimpiade,Cimarosa,Vicenza
Venetia,1785,La Moglie capricciosa,Gazzaniga,Venice
Venetia,1786,Le Gelosie fortunate,Anfossi,Venice
Venetia,1787,Don Giovanni Tenorio o sia Il Convitato di Pietra,Gazzaniga,Venice
Venetia,1789,Zenobia di Palmira,Anfossi,Venice
Venetia,1790,Pimmaglione,Cimadoro,Venice
Venetia,1791,La Morte di Cleopatra,Nasolini,Vicenza
Venetia,1792,Eugenia,Nasolini,Venice
Venetia,1794,La Principessa Filosofa ossia Il Contravveleno,Andreozzi,Venice
Venetia,1805,La Scelta dello Sposo,P. C. Guglielmi,Venice
Venetia,1815,Clotilda,Coccia,Venice
Venetia,1819,Eduardo e Cristina,Rossini,Venice
