State,Year,Opera,Composer,City
Lombardy,1781,Il Vecchio geloso,Alessandri,Milan
Lombardy,1782,Fra due Litiganti il terzo gode,Sarti,Milan
Lombardy,1784,I due supposti Conti ossia Lo Sposo senza Moglie,Cimarosa,Milan
Lombardy,1786,Ariarate,Tarchi,Milan
Lombardy,1789,La Disfatta di Dario,Giordani,Milan
Lombardy,1791,La Morte di Semiramide,Borghi,Milan
Lombardy,1792,Il Mercato di Monfregoso,Zingarelli,Milan
Lombardy,1796,Giulietta e Romeo,Zingarelli,Milan
Lombardy,1803,La Muta per Amore ossia Il Medico per Forza,Lavigna,Milan
Lombardy,1810,Ser Marcantonio,Pavesi,Milan
Lombardy,1811,I Pretendenti delusi,Mosca,Milan
Lombardy,1812,La Pietra del Paragone,Rossini,Milan
Lombardy,1813,Aureliano in Palmira,Rossini,Milan
Papal,1781,Il Pittor Parigino,Cimarosa,Rome
Papal,1783,I due Baroni di Rocca Azzurra,Cimarosa,Rome
Papal,1784,Le Vicende d'Amore,P. Guglielmi,Rome
Papal,1785,Li due Castellani Burlati,Fabrizi,Bologna
Papal,1788,Le Avventure amorose,Tritto,Rome
Papal,1804,Filandro e Carolina,Gnecco,Rome
Papal,1811,"Berenice, Regina d'Armenia",Zingarelli,Rome
Papal,1812,Ciro in Babilonia o sia La Caduta di Baldassarre,Rossini,Ferrara
Papal,1815,Torvaldo e Dorliska,Rossini,Rome
Parma,1809,Agnese di Fitz-Henry,Paer,Parma
Sardinia,1788,Ifigenia in Aulide,Cherubini,Turin
Toscany,1794,Gerusalemme distrutta,Zingarelli,Florence
Two Sicilies,1781,Montezuma,Zingarelli,Naples
Two Sicilies,1782,La Ballerina amante,Cimarosa,Naples
Two Sicilies,1783,Chi dell<e2><80><99> altrui si veste presto si spoglia,Cimarosa,Naples
Two Sicilies,1785,Enea e Lavinia,P. Guglielmi,Naples
Two Sicilies,1786,L'Impresario in Angustie,Cimarosa,Naples
Two Sicilies,1787,Il Fanatico burlato,Cimarosa,Naples
Two Sicilies,1788,L<e2><80><99>Amor contrastato,Paisiello,Naples
Two Sicilies,1789,I Zingari in Fiera,Paisiello,Naples
Two Sicilies,1795,La Pietra simpatica,S. Palma,Naples
Two Sicilies,1799,La finta Filosofa,Spontini,Naples
Two Sicilies,1802,Gli Americani,Tritto,Naples
Two Sicilies,1805,Amor tutto vince,P. C. Guglielmi,Naples
Venetia,1781,Giannina e Bernadone,Cimarosa,Venice
Venetia,1783,Gli Amanti alla Prova,Caruso,Venice
Venetia,1784,L'Olimpiade,Cimarosa,Vicenza
Venetia,1785,La Moglie capricciosa,Gazzaniga,Venice
Venetia,1786,Le Gelosie fortunate,Anfossi,Venice
Venetia,1787,Don Giovanni Tenorio o sia Il Convitato di Pietra,Gazzaniga,Venice
Venetia,1789,Zenobia di Palmira,Anfossi,Venice
Venetia,1790,Pimmaglione,Cimadoro,Venice
Venetia,1791,La Morte di Cleopatra,Nasolini,Vicenza
Venetia,1792,Eugenia,Nasolini,Venice
Venetia,1794,La Principessa Filosofa ossia Il Contravveleno,Andreozzi,Venice
Venetia,1805,La Scelta dello Sposo,P. C. Guglielmi,Venice
Venetia,1815,Clotilda,Coccia,Venice
Venetia,1819,Eduardo e Cristina,Rossini,Venice
